key,zh-tw,zh-cn,en
_meta.display_name,繁體中文,简体中文,English
app.title,Git Helper Pro - 進階Git版控小工具,Git Helper Pro - 高级Git版本管理工具,Git Helper Pro - Advanced Git Management Tool
toolbar.new_project,+ 開啟新專案分頁,+ 打开新项目标签页,+ Open New Project Tab
toolbar.language_label,語言：,语言：,Language:
display.adog_title,Git Adog 圖表:,Git Adog 图表:,Git Adog Graph:
display.terminal_title,執行輸出:,执行输出:,Output:
display.refresh_btn,🔄 刷新,🔄 刷新,🔄 Refresh
display.reflog_btn,🕒 Reflog,🕒 Reflog,🕒 Reflog
quick.group_title,⚡ 快速執行,⚡ 快速执行,⚡ Quick Execute
quick.execute_btn,執行,执行,Run
group.rebase_control,🧩 Rebase 流程控制,🧩 Rebase 流程控制,🧩 Rebase Flow Control
group.merge,🔗 Merge 合併,🔗 Merge 合并,🔗 Merge
group.cherry_pick,🍒 Cherry-pick,🍒 Cherry-pick,🍒 Cherry-pick
group.reset,⏪ Reset 回退,⏪ Reset 回退,⏪ Reset
group.commit,📝 提交與暫存,📝 提交与暂存,📝 Commit & Stage
group.push,✈️ 遠端推送,✈️ 远端推送,✈️ Remote Push
group.stash,📦 Stash 緩衝區,📦 Stash 缓冲区,📦 Stash
group.branch,🌿 Branch 分支管理,🌿 Branch 分支管理,🌿 Branch Management
group.tag,🏷️ Tag 標籤管理,🏷️ Tag 标签管理,🏷️ Tag Management
group.tools,🔍 狀態與工具,🔍 状态与工具,🔍 Status & Tools
group.remote,🌐 Fetch / Pull,🌐 Fetch / Pull,🌐 Fetch / Pull
btn.rebase_interactive,📝 互動模式 [-i],📝 交互模式 [-i],📝 Interactive [-i]
btn.rebase_head4,-i HEAD~4,-i HEAD~4,-i HEAD~4
btn.rebase_head8,-i HEAD~8,-i HEAD~8,-i HEAD~8
btn.rebase_head14,-i HEAD~14,-i HEAD~14,-i HEAD~14
btn.rebase_branch,📍 指定位置,📍 指定位置,📍 Target Branch
btn.rebase_onto,🧬 [--onto],🧬 [--onto],🧬 [--onto]
btn.continue,⏩ Continue,⏩ Continue,⏩ Continue
btn.abort,🛑 Abort,🛑 Abort,🛑 Abort
btn.skip,⏭️ Skip,⏭️ Skip,⏭️ Skip
btn.merge_branch,🔗 Merge 分支,🔗 Merge 分支,🔗 Merge Branch
btn.cherry_pick_hash,🍒 Cherry-pick Hash,🍒 Cherry-pick Hash,🍒 Cherry-pick Hash
btn.restore_from_commit,🔄 從 Hash 還原檔案,🔄 从 Hash 还原文件,🔄 Restore from Hash
btn.soft_head1,Soft HEAD~1,Soft HEAD~1,Soft HEAD~1
btn.soft_head2,Soft HEAD~2,Soft HEAD~2,Soft HEAD~2
btn.soft_reset,🧨 Soft (保留變更),🧨 Soft (保留变更),🧨 Soft (Keep Changes)
btn.hard_reset,💣 Hard (捨棄變更),💣 Hard (丢弃变更),💣 Hard (Discard Changes)
btn.fixup,🩹 Fixup (f),🩹 Fixup (f),🩹 Fixup (f)
btn.squash,📦 Squash (s),📦 Squash (s),📦 Squash (s)
btn.fast_commit,⚡ FastCommit (stash),⚡ FastCommit (stash),⚡ FastCommit (stash)
btn.add_files,➕ Add 選擇檔案,➕ Add 选择文件,➕ Add Files
btn.commit_msg,💬 Commit -m,💬 Commit -m,💬 Commit -m
btn.amend,✏️ Amend,✏️ Amend,✏️ Amend
btn.push,🛰️ Push,🛰️ Push,🛰️ Push
btn.force_push,💥 Force Push,💥 Force Push,💥 Force Push
btn.push_tags,🏷️ Push Tags,🏷️ Push Tags,🏷️ Push Tags
btn.push_panel,🚀 Push Panel,🚀 Push Panel,🚀 Push Panel
btn.fetch,🌐 Fetch,🌐 Fetch,🌐 Fetch
btn.pull,⬇️ Pull,⬇️ Pull,⬇️ Pull
btn.stash_list,📚 Stash List,📚 Stash List,📚 Stash List
btn.stash_pop,📤 Stash Pop,📤 Stash Pop,📤 Stash Pop
btn.stash_save,📥 Stash Save,📥 Stash Save,📥 Stash Save
btn.stash_clear,🧹 Stash Clear,🧹 Stash Clear,🧹 Stash Clear
btn.stash_drop,🗑️ Stash Drop,🗑️ Stash Drop,🗑️ Stash Drop
btn.branch_list,📋 List,📋 List,📋 List
btn.branch_create,📌 Create,📌 Create,📌 Create
btn.prune,🧹 Prune,🧹 Prune,🧹 Prune
btn.delete_branch,🗑️ Delete Branch,🗑️ Delete Branch,🗑️ Delete Branch
btn.rename_branch,✏️ Rename,✏️ 重命名,✏️ Rename
btn.tag_list,📋 List Tags,📋 List Tags,📋 List Tags
btn.tag_create,📌 Create Tag,📌 Create Tag,📌 Create Tag
btn.delete_tag,🗑️ Delete Tag,🗑️ Delete Tag,🗑️ Delete Tag
btn.rename_tag,✏️ Move Tag,✏️ 移动 Tag,✏️ Move Tag
